id,longitude,latitude,Address,city,area,pType,subType,,-0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10
512206,89.79718208,22.65547004,Bagerhat,Bagerhat,Bagerhat,Admin,Zilla,,,,,,,,,,,,
512207,92.21820831,22.20107407,Bandarban,Bandarban,Bandarban,Admin,Zilla,,,,,,,,,,,,
512208,90.11812985,22.15895743,Barguna,Barguna,Barguna,Admin,Zilla,,,,,,,,,,,,
512209,90.37353516,22.70525548,Barisal,Barisal,Barisal,Admin,Zilla,,,,,,,,,,,,
512210,90.64057052,22.68915892,Bhola,Bhola,Bhola,Admin,Zilla,,,,,,,,,,,,
512211,89.37283516,24.84897979,Bogra,Bogra,Bogra,Admin,Zilla,,,,,,,,,,,,
512212,91.11043453,23.96982285,Brahamanbaria,Brahamanbaria,Brahamanbaria,Admin,Zilla,,,,,,,,,,,,
512213,90.6531018,23.22419913,Chandpur,Chandpur,Chandpur,Admin,Zilla,,,,,,,,,,,,
512214,91.84127212,22.33100276,Chittagong,Chittagong,Chittagong,Admin,Zilla,,,,,,,,,,,,
512215,88.84649992,23.64560529,Chuadanga,Chuadanga,Chuadanga,Admin,Zilla,,,,,,,,,,,,
512216,91.17553711,23.4682852,Comilla,Comilla,Comilla,Admin,Zilla,,,,,,,,,,,,
512217,92.0639254,21.48379793,Cox's Bazar,Cox's Bazar,Cox's Bazar,Admin,Zilla,,,,,,,,,,,,
512218,90.37965059,23.75983629,Dhaka,Dhaka,Dhaka,Admin,Zilla,,,,,,,,,,,,
512219,88.63460273,25.62612957,Dinajpur,Dinajpur,Dinajpur,Admin,Zilla,,,,,,,,,,,,
512220,89.84052658,23.60756508,Faridpur,Faridpur,Faridpur,Admin,Zilla,,,,,,,,,,,,
512221,91.39620781,23.00833225,Feni,Feni,Feni,Admin,Zilla,,,,,,,,,,,,
512222,89.54851449,25.33163846,Gaibandha,Gaibandha,Gaibandha,Admin,Zilla,,,,,,,,,,,,
512223,90.42296827,23.99819618,Gazipur,Gazipur,Gazipur,Admin,Zilla,,,,,,,,,,,,
512224,89.82635245,23.00597079,Gopalganj,Gopalganj,Gopalganj,Admin,Zilla,,,,,,,,,,,,
512225,91.41262561,24.3858961,Habiganj,Habiganj,Habiganj,Admin,Zilla,,,,,,,,,,,,
512226,89.94729996,24.92971949,Jamalpur,Jamalpur,Jamalpur,Admin,Zilla,,,,,,,,,,,,
512227,89.20953155,23.16655195,Jessore,Jessore,Jessore,Admin,Zilla,,,,,,,,,,,,
512228,90.19997478,22.64349181,Jhalokati,Jhalokati,Jhalokati,Admin,Zilla,,,,,,,,,,,,
512229,89.17341292,23.54485329,Jhenaidah,Jhenaidah,Jhenaidah,Admin,Zilla,,,,,,,,,,,,
512230,89.0205431,25.10417609,Joypurhat,Joypurhat,Joypurhat,Admin,Zilla,,,,,,,,,,,,
512231,91.98028564,23.12015362,Khagrachhari,Khagrachhari,Khagrachhari,Admin,Zilla,,,,,,,,,,,,
512232,89.56365824,22.81752483,Khulna,Khulna,Khulna,Admin,Zilla,,,,,,,,,,,,
512233,90.78627348,24.43454963,Kishoreganj,Kishoreganj,Kishoreganj,Admin,Zilla,,,,,,,,,,,,
512234,89.64406013,25.81239942,Kurigram,Kurigram,Kurigram,Admin,Zilla,,,,,,,,,,,,
512235,88.8684082,24.01887061,Kushtia,Kushtia,Kushtia,Admin,Zilla,,,,,,,,,,,,
512236,90.82746148,22.94468059,Lakshmipur,Lakshmipur,Lakshmipur,Admin,Zilla,,,,,,,,,,,,
512237,89.44610238,25.91654796,Lalmonirhat,Lalmonirhat,Lalmonirhat,Admin,Zilla,,,,,,,,,,,,
512238,90.20497978,23.16759134,Madaripur,Madaripur,Madaripur,Admin,Zilla,,,,,,,,,,,,
512239,89.41996694,23.48854699,Magura,Magura,Magura,Admin,Zilla,,,,,,,,,,,,
512240,89.99877691,23.87122249,Manikganj,Manikganj,Manikganj,Admin,Zilla,,,,,,,,,,,,
512241,91.75986171,24.4880566,Maulvibazar,Maulvibazar,Maulvibazar,Admin,Zilla,,,,,,,,,,,,
512242,88.63074303,23.77595888,Meherpur,Meherpur,Meherpur,Admin,Zilla,,,,,,,,,,,,
512243,90.53485394,23.54881208,Munshiganj,Munshiganj,Munshiganj,Admin,Zilla,,,,,,,,,,,,
512244,90.40975571,24.74849744,Mymensingh,Mymensingh,Mymensingh,Admin,Zilla,,,,,,,,,,,,
512245,88.94430399,24.80771367,Naogaon,Naogaon,Naogaon,Admin,Zilla,,,,,,,,,,,,
512246,89.50499833,23.17502092,Narail,Narail,Narail,Admin,Zilla,,,,,,,,,,,,
512247,90.49982429,23.62405053,Narayanganj,Narayanganj,Narayanganj,Admin,Zilla,,,,,,,,,,,,
512248,90.69818169,23.91570066,Narsingdi,Narsingdi,Narsingdi,Admin,Zilla,,,,,,,,,,,,
512249,88.88076782,24.46090067,Natore,Natore,Natore,Admin,Zilla,,,,,,,,,,,,
512250,88.26922417,24.59637776,Chapainawabganj,Chapainawabganj,Chapainawabganj,Admin,Zilla,,,,,,,,,,,,
512251,90.73258638,24.88556055,Netrakona,Netrakona,Netrakona,Admin,Zilla,,,,,,,,,,,,
512252,88.85192871,25.93736086,Nilphamari,Nilphamari,Nilphamari,Admin,Zilla,,,,,,,,,,,,
512253,91.09741643,22.86374302,Noakhali,Noakhali,Noakhali,Admin,Zilla,,,,,,,,,,,,
512254,89.24992561,24.0063262,Pabna,Pabna,Pabna,Admin,Zilla,,,,,,,,,,,,
512255,88.55566263,26.33219153,Panchagarh,Panchagarh,Panchagarh,Admin,Zilla,,,,,,,,,,,,
512256,90.33099532,22.35917477,Patuakhali,Patuakhali,Patuakhali,Admin,Zilla,,,,,,,,,,,,
512257,89.967556,22.58072954,Pirojpur,Pirojpur,Pirojpur,Admin,Zilla,,,,,,,,,,,,
512258,89.64996636,23.75506638,Rajbari,Rajbari,Rajbari,Admin,Zilla,,,,,,,,,,,,
512259,88.59091759,24.37313366,Rajshahi,Rajshahi,Rajshahi,Admin,Zilla,,,,,,,,,,,,
512260,92.16430664,22.66470981,Rangamati,Rangamati,Rangamati,Admin,Zilla,,,,,,,,,,,,
512261,89.24194336,25.7578461,Rangpur,Rangpur,Rangpur,Admin,Zilla,,,,,,,,,,,,
512262,89.07498255,22.71667905,Satkhira,Satkhira,Satkhira,Admin,Zilla,,,,,,,,,,,,
512263,90.34811854,23.21331383,Shariatpur,Shariatpur,Shariatpur,Admin,Zilla,,,,,,,,,,,,
512264,90.00583649,25.02448415,Sherpur,Sherpur,Sherpur,Admin,Zilla,,,,,,,,,,,,
512265,89.70817566,24.45688684,Sirajganj,Sirajganj,Sirajganj,Admin,Zilla,,,,,,,,,,,,
512266,91.34604543,24.9385674,Sunamganj,Sunamganj,Sunamganj,Admin,Zilla,,,,,,,,,,,,
512267,91.8685019,24.89935584,Sylhet,Sylhet,Sylhet,Admin,Zilla,,,,,,,,,,,,
512268,89.91493374,24.25078207,Tangail,Tangail,Tangail,Admin,Zilla,,,,,,,,,,,,
512269,88.45916748,26.02470207,Thakurgaon,Thakurgaon,Thakurgaon,Admin,Zilla,,,,,,,,,,,,